position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,63,13,False,False,False,"[75.717, 75.228, 74.679]","[0.092, 0.0, 0.0]",1287,11303
2,44,14,False,False,False,"[75.625, 75.418, 74.743]","[0.0, 0.19, 0.064]",1287,11303
3,12,14,False,False,False,"[75.977, 75.295, 74.998]","[0.352, 0.067, 0.319]",1287,11303
4,1,14,False,False,False,"[76.287, 75.361, 75.001]","[0.662, 0.133, 0.322]",1287,11303
5,3,12,False,False,False,"[76.352, 75.484, 75.021]","[0.727, 0.256, 0.342]",1287,11303
6,6,14,False,False,False,"[76.427, 75.754, 75.077]","[0.802, 0.526, 0.398]",1287,11303
7,81,15,False,False,False,"[76.138, 75.518, 75.09]","[0.513, 0.29, 0.411]",1287,11303
8,30,14,False,False,False,"[76.673, 75.585, 76.542]","[1.048, 0.357, 1.863]",1287,11303
9,27,17,False,False,False,"[76.066, 75.768, 76.657]","[0.441, 0.54, 1.978]",1287,11303
10,16,8,True,False,False,"[75.964, 75.281, None]","[0.339, 0.053, None]",1287,11303
11,41,8,False,False,False,"[76.425, 75.84, None]","[0.8, 0.612, None]",1287,11303
12,5,9,False,False,False,"[76.616, 76.001, None]","[0.991, 0.773, None]",1287,11303
13,43,12,False,False,False,"[76.59, 76.191, None]","[0.965, 0.963, None]",1287,11303
14,10,12,False,False,False,"[76.599, 76.261, None]","[0.974, 1.033, None]",1287,11303
15,87,15,False,False,False,"[76.571, 76.389, None]","[0.946, 1.161, None]",1287,11303
16,55,15,False,False,False,"[76.881, 77.827, None]","[1.256, 2.599, None]",1287,11303
17,31,9,False,False,False,"[77.073, None, None]","[1.448, None, None]",1287,11303
18,23,9,False,False,False,"[77.424, None, None]","[1.799, None, None]",1287,11303
19,11,6,False,False,False,"[77.545, None, None]","[1.92, None, None]",1287,11303
20,77,9,False,False,False,"[77.757, None, None]","[2.132, None, None]",1287,11303
21,18,8,False,False,False,"[78.758, None, None]","[3.133, None, None]",1287,11303
22,14,8,False,False,False,"[78.815, None, None]","[3.19, None, None]",1287,11303
