date,session_key,pit_duration,meeting_key,stop_duration,driver_number,lane_duration,lap_number
2026-06-13T14:00:04.065000+00:00,11303,,1287,,77,,1
2026-06-13T14:00:08.671000+00:00,11303,,1287,,31,,1
2026-06-13T14:00:17.523000+00:00,11303,,1287,,87,,1
2026-06-13T14:00:21.601000+00:00,11303,,1287,,55,,1
2026-06-13T14:00:29.414000+00:00,11303,,1287,,23,,1
2026-06-13T14:00:34.338000+00:00,11303,,1287,,18,,1
2026-06-13T14:00:40.724000+00:00,11303,,1287,,14,,1
2026-06-13T14:05:03.647000+00:00,11303,,1287,,27,,1
2026-06-13T14:05:08.915000+00:00,11303,,1287,,3,,1
2026-06-13T14:05:12.281000+00:00,11303,,1287,,10,,1
2026-06-13T14:05:14.467000+00:00,11303,,1287,,43,,1
2026-06-13T14:05:17.835000+00:00,11303,,1287,,16,,1
2026-06-13T14:05:22.683000+00:00,11303,,1287,,11,,1
2026-06-13T14:05:44.008000+00:00,11303,,1287,,6,,1
2026-06-13T14:05:53.308000+00:00,11303,,1287,,12,,1
2026-06-13T14:06:03.374000+00:00,11303,,1287,,63,,1
2026-06-13T14:06:19.184000+00:00,11303,,1287,,44,,1
2026-06-13T14:06:25.868000+00:00,11303,,1287,,41,,1
2026-06-13T14:06:32.245000+00:00,11303,,1287,,5,,1
2026-06-13T14:06:37.925000+00:00,11303,,1287,,30,,1
2026-06-13T14:06:42.179000+00:00,11303,88.8,1287,,55,88.8,4
2026-06-13T14:06:48.646000+00:00,11303,84.9,1287,,23,84.9,4
2026-06-13T14:06:54.517000+00:00,11303,,1287,,1,,1
2026-06-13T14:06:59.545000+00:00,11303,,1287,,81,,1
2026-06-13T14:07:07.748000+00:00,11303,119.6,1287,,87,119.6,4
2026-06-13T14:07:22.968000+00:00,11303,142.0,1287,,31,142.0,4
2026-06-13T14:07:26.787000+00:00,11303,168.9,1287,,77,168.9,4
2026-06-13T14:07:35.832000+00:00,11303,128.2,1287,,18,128.2,4
2026-06-13T14:07:45.902000+00:00,11303,117.4,1287,,14,117.4,4
2026-06-13T14:13:44.219000+00:00,11303,217.5,1287,,10,217.5,4
2026-06-13T14:13:45.701000+00:00,11303,210.1,1287,,43,210.1,4
2026-06-13T14:13:54.148000+00:00,11303,130.0,1287,,23,130.0,7
2026-06-13T14:13:56.111000+00:00,11303,157.1,1287,,18,157.1,6
2026-06-13T14:14:00.404000+00:00,11303,261.2,1287,,27,261.2,4
2026-06-13T14:14:10.889000+00:00,11303,109.7,1287,,31,109.7,7
2026-06-13T14:14:23.071000+00:00,11303,126.4,1287,,87,126.4,7
2026-06-13T14:14:29.509000+00:00,11303,192.2,1287,,14,192.2,6
2026-06-13T14:14:39.962000+00:00,11303,182.2,1287,,55,182.2,7
2026-06-13T14:14:42.721000+00:00,11303,137.2,1287,,77,137.2,7
2026-06-13T14:14:50.531000+00:00,11303,266.7,1287,,11,266.7,4
2026-06-13T14:27:32.642000+00:00,11303,537.5,1287,,10,537.5,7
2026-06-13T14:27:33.855000+00:00,11303,528.0,1287,,43,528.0,7
2026-06-13T14:27:38.939000+00:00,11303,510.7,1287,,27,510.7,7
2026-06-13T14:27:41.457000+00:00,11303,489.2,1287,,55,489.2,10
2026-06-13T14:27:44.616000+00:00,11303,1068.3,1287,,3,1068.3,4
2026-06-13T14:27:47.012000+00:00,11303,1003.9,1287,,41,1003.9,4
2026-06-13T14:27:52.598000+00:00,11303,987.8,1287,,30,987.8,4
2026-06-13T14:28:34.962000+00:00,11303,1087.8,1287,,6,1087.8,4
2026-06-13T14:28:38.299000+00:00,11303,1098.4,1287,,16,1098.4,4
2026-06-13T14:28:42.941000+00:00,11303,1080.1,1287,,12,1080.1,4
2026-06-13T14:28:47.680000+00:00,11303,1047.4,1287,,5,1047.4,4
2026-06-13T14:28:56.100000+00:00,11303,1075.6,1287,,63,1075.6,4
2026-06-13T14:29:11.704000+00:00,11303,1080.6,1287,,44,1080.6,4
2026-06-13T14:29:19.485000+00:00,11303,1028.3,1287,,81,1028.3,4
2026-06-13T14:29:24.876000+00:00,11303,603.2,1287,,87,603.2,10
2026-06-13T14:29:41.497000+00:00,11303,1063.8,1287,,1,1063.8,4
2026-06-13T14:35:42.590000+00:00,11303,100.4,1287,,81,100.4,7
2026-06-13T14:35:47.918000+00:00,11303,89.8,1287,,1,89.8,7
2026-06-13T14:35:55.043000+00:00,11303,181.9,1287,,55,181.9,13
2026-06-13T14:36:38.654000+00:00,11303,219.5,1287,,41,219.5,7
2026-06-13T14:36:42.192000+00:00,11303,218.9,1287,,30,218.9,7
2026-06-13T14:36:45.291000+00:00,11303,254.4,1287,,27,254.4,10
2026-06-13T14:36:47.874000+00:00,11303,159.8,1287,,87,159.8,13
2026-06-13T14:37:04.199000+00:00,11303,199.7,1287,,5,199.7,7
2026-06-13T14:37:16.573000+00:00,11303,292.6,1287,,10,292.6,10
2026-06-13T14:37:17.526000+00:00,11303,277.4,1287,,43,277.4,10
2026-06-13T14:48:28.943000+00:00,11303,931.0,1287,,3,931.0,7
2026-06-13T14:48:32.669000+00:00,11303,497.7,1287,,81,497.7,10
2026-06-13T14:48:35.685000+00:00,11303,495.9,1287,,1,495.9,10
2026-06-13T14:48:38.768000+00:00,11303,441.0,1287,,30,441.0,10
2026-06-13T14:48:44.595000+00:00,11303,920.8,1287,,16,920.8,7
2026-06-13T14:49:08.375000+00:00,11303,950.7,1287,,6,950.7,7
2026-06-13T14:49:14.520000+00:00,11303,915.9,1287,,44,915.9,7
2026-06-13T14:49:20.678000+00:00,11303,470.8,1287,,27,470.8,13
2026-06-13T14:49:44.594000+00:00,11303,973.9,1287,,12,973.9,7
2026-06-13T14:49:55.897000+00:00,11303,955.0,1287,,63,955.0,7
2026-06-13T15:03:03.793000+00:00,11303,1772.9,1287,,12,1772.9,9
2026-06-13T15:03:11.475000+00:00,11303,1793.9,1287,,6,1793.9,9
2026-06-13T15:03:19.880000+00:00,11303,1758.6,1287,,63,1758.6,8
2026-06-13T15:03:32.699000+00:00,11303,1774.2,1287,,44,1774.2,9
2026-06-13T15:08:11.763000+00:00,11303,47.9,1287,,12,47.9,12
2026-06-13T15:08:22.289000+00:00,11303,28.3,1287,,63,28.3,11
2026-06-13T15:08:28.504000+00:00,11303,1688.6,1287,,1,1688.6,12
2026-06-13T15:08:34.692000+00:00,11303,1624.8,1287,,27,1624.8,15
2026-06-13T15:08:38.671000+00:00,11303,1640.9,1287,,30,1640.9,12
2026-06-13T15:08:41.011000+00:00,11303,1706.0,1287,,81,1706.0,13
2026-06-13T15:08:48.502000+00:00,11303,2150.2,1287,,3,2150.2,10
2026-06-13T15:09:08.036000+00:00,11303,98.1,1287,,6,98.1,12
2026-06-13T15:09:14.140000+00:00,11303,79.0,1287,,44,79.0,12
