date,session_key,meeting_key,humidity,wind_direction,air_temperature,pressure,wind_speed,rainfall,track_temperature
2026-06-13T13:47:21.430000+00:00,11303,1287,31.9,136,30.3,1006.6,3.1,0,50.7
2026-06-13T13:48:21.420000+00:00,11303,1287,32.0,135,30.5,1006.7,3.2,0,51.0
2026-06-13T13:49:21.426000+00:00,11303,1287,31.1,104,30.5,1006.5,5.1,0,50.0
2026-06-13T13:50:21.427000+00:00,11303,1287,31.4,132,30.5,1006.6,1.6,0,51.1
2026-06-13T13:51:21.426000+00:00,11303,1287,31.0,97,30.4,1006.6,3.1,0,50.7
2026-06-13T13:52:21.441000+00:00,11303,1287,31.0,116,30.4,1006.6,1.1,0,51.7
2026-06-13T13:53:21.442000+00:00,11303,1287,31.0,156,30.4,1006.6,1.4,0,51.8
2026-06-13T13:54:21.453000+00:00,11303,1287,30.8,116,30.5,1006.7,3.6,0,50.9
2026-06-13T13:55:21.461000+00:00,11303,1287,31.2,162,30.6,1006.6,3.2,0,50.8
2026-06-13T13:56:21.461000+00:00,11303,1287,31.1,148,30.6,1006.7,2.8,0,51.1
2026-06-13T13:57:21.464000+00:00,11303,1287,31.0,163,30.6,1006.6,1.9,0,51.7
2026-06-13T13:58:21.465000+00:00,11303,1287,30.8,111,30.6,1006.6,2.4,0,51.6
2026-06-13T13:59:21.459000+00:00,11303,1287,30.8,98,30.7,1006.5,3.3,0,51.5
2026-06-13T14:00:21.476000+00:00,11303,1287,31.0,97,30.6,1006.5,2.3,0,50.9
2026-06-13T14:01:21.460000+00:00,11303,1287,30.9,106,30.5,1006.5,3.4,0,50.7
2026-06-13T14:02:21.468000+00:00,11303,1287,30.8,162,30.5,1006.5,1.0,0,51.9
2026-06-13T14:03:21.476000+00:00,11303,1287,30.6,123,30.6,1006.5,2.9,0,51.4
2026-06-13T14:04:21.473000+00:00,11303,1287,30.0,81,30.6,1006.5,0.6,0,51.5
2026-06-13T14:05:21.472000+00:00,11303,1287,30.0,125,30.6,1006.5,3.3,0,50.9
2026-06-13T14:06:21.483000+00:00,11303,1287,29.9,145,30.5,1006.5,2.0,0,50.7
2026-06-13T14:07:21.474000+00:00,11303,1287,29.8,101,30.6,1006.5,2.0,0,51.0
2026-06-13T14:08:21.482000+00:00,11303,1287,30.6,96,30.7,1006.5,4.6,0,50.6
2026-06-13T14:09:21.474000+00:00,11303,1287,29.8,87,30.7,1006.4,2.6,0,50.9
2026-06-13T14:10:21.481000+00:00,11303,1287,29.3,94,30.8,1006.4,1.1,0,50.4
2026-06-13T14:11:21.483000+00:00,11303,1287,29.5,0,30.9,1006.5,0.0,0,51.2
2026-06-13T14:12:21.481000+00:00,11303,1287,28.5,134,30.9,1006.4,2.4,0,49.1
2026-06-13T14:13:21.472000+00:00,11303,1287,29.7,101,30.9,1006.3,1.4,0,50.7
2026-06-13T14:14:21.493000+00:00,11303,1287,30.0,109,30.9,1006.4,2.5,0,49.8
2026-06-13T14:15:21.501000+00:00,11303,1287,29.6,97,30.9,1006.3,2.4,0,50.5
2026-06-13T14:16:21.511000+00:00,11303,1287,30.1,157,30.8,1006.4,2.1,0,50.9
2026-06-13T14:17:21.511000+00:00,11303,1287,29.5,162,30.8,1006.4,2.9,0,50.7
2026-06-13T14:18:21.537000+00:00,11303,1287,29.4,75,30.8,1006.3,2.4,0,50.6
2026-06-13T14:19:21.533000+00:00,11303,1287,28.9,119,30.9,1006.4,2.3,0,50.6
2026-06-13T14:20:21.523000+00:00,11303,1287,28.8,129,30.9,1006.3,1.8,0,51.2
2026-06-13T14:21:21.535000+00:00,11303,1287,28.4,125,31.0,1006.3,2.8,0,50.3
2026-06-13T14:22:21.550000+00:00,11303,1287,29.2,152,30.9,1006.3,2.2,0,51.0
2026-06-13T14:23:21.558000+00:00,11303,1287,28.6,121,30.9,1006.3,2.9,0,50.7
2026-06-13T14:24:21.588000+00:00,11303,1287,28.4,123,30.9,1006.2,2.5,0,50.7
2026-06-13T14:25:21.604000+00:00,11303,1287,28.3,119,30.9,1006.3,1.3,0,51.2
2026-06-13T14:26:21.599000+00:00,11303,1287,27.1,84,30.9,1006.2,3.4,0,49.4
2026-06-13T14:27:21.601000+00:00,11303,1287,27.6,62,30.9,1006.2,2.9,0,50.9
2026-06-13T14:28:21.604000+00:00,11303,1287,28.5,149,30.8,1006.3,2.9,0,50.3
2026-06-13T14:29:21.610000+00:00,11303,1287,28.0,127,30.7,1006.3,3.7,0,49.6
2026-06-13T14:30:21.608000+00:00,11303,1287,28.5,160,30.6,1006.3,2.5,0,50.8
2026-06-13T14:31:21.626000+00:00,11303,1287,28.2,111,30.6,1006.3,3.3,0,50.6
2026-06-13T14:32:21.626000+00:00,11303,1287,27.7,147,30.7,1006.3,1.8,0,50.6
2026-06-13T14:33:21.624000+00:00,11303,1287,27.6,112,30.7,1006.2,2.3,0,50.3
2026-06-13T14:34:21.626000+00:00,11303,1287,27.3,155,30.7,1006.2,3.1,0,49.6
2026-06-13T14:35:21.627000+00:00,11303,1287,27.1,159,30.7,1006.3,2.2,0,50.2
2026-06-13T14:36:21.626000+00:00,11303,1287,27.4,103,30.7,1006.3,1.9,0,49.6
2026-06-13T14:37:21.620000+00:00,11303,1287,27.0,63,30.8,1006.2,3.2,0,49.6
2026-06-13T14:38:21.632000+00:00,11303,1287,27.2,110,30.7,1006.2,1.5,0,50.3
2026-06-13T14:39:21.628000+00:00,11303,1287,26.6,89,30.8,1006.2,2.3,0,50.1
2026-06-13T14:40:21.632000+00:00,11303,1287,26.8,94,31.4,1006.2,1.4,0,49.8
2026-06-13T14:41:21.629000+00:00,11303,1287,26.8,94,31.4,1006.2,1.4,0,49.8
2026-06-13T14:42:21.627000+00:00,11303,1287,26.7,106,30.9,1006.2,1.6,0,50.4
2026-06-13T14:43:21.635000+00:00,11303,1287,26.1,153,30.9,1006.2,3.4,0,48.1
2026-06-13T14:44:21.633000+00:00,11303,1287,26.5,121,30.9,1006.2,2.7,0,49.1
2026-06-13T14:45:21.629000+00:00,11303,1287,27.0,131,30.8,1006.2,2.0,0,48.7
2026-06-13T14:46:21.625000+00:00,11303,1287,27.0,131,30.8,1006.2,2.0,0,48.7
2026-06-13T14:47:21.636000+00:00,11303,1287,27.5,162,30.5,1006.1,2.4,0,49.2
2026-06-13T14:48:21.635000+00:00,11303,1287,27.1,121,30.6,1006.1,1.7,0,49.6
2026-06-13T14:49:21.643000+00:00,11303,1287,27.1,98,30.6,1006.0,1.5,0,49.8
2026-06-13T14:50:21.642000+00:00,11303,1287,27.0,140,30.8,1006.0,3.1,0,49.5
2026-06-13T14:51:21.644000+00:00,11303,1287,26.6,100,30.9,1006.0,2.1,0,49.9
2026-06-13T14:52:21.633000+00:00,11303,1287,26.8,122,30.9,1006.0,0.6,0,50.1
2026-06-13T14:53:21.642000+00:00,11303,1287,26.1,157,31.0,1006.0,1.4,0,50.1
2026-06-13T14:54:21.644000+00:00,11303,1287,25.7,116,31.0,1006.0,3.0,0,49.5
2026-06-13T14:55:21.644000+00:00,11303,1287,26.4,96,31.0,1006.0,2.2,0,49.7
2026-06-13T14:56:21.646000+00:00,11303,1287,26.5,116,30.8,1006.1,1.4,0,50.5
2026-06-13T14:57:21.645000+00:00,11303,1287,26.0,121,30.9,1005.9,0.8,0,50.0
2026-06-13T14:58:21.644000+00:00,11303,1287,26.3,72,30.9,1005.9,2.1,0,50.1
2026-06-13T14:59:21.646000+00:00,11303,1287,26.3,122,30.8,1006.0,2.2,0,50.0
2026-06-13T15:00:21.646000+00:00,11303,1287,25.8,147,30.8,1006.0,1.5,0,50.0
2026-06-13T15:01:21.647000+00:00,11303,1287,26.1,108,30.8,1005.9,1.2,0,49.5
2026-06-13T15:02:21.647000+00:00,11303,1287,26.2,112,30.9,1006.0,4.1,0,48.9
2026-06-13T15:03:21.669000+00:00,11303,1287,25.9,111,30.8,1005.9,3.1,0,48.7
2026-06-13T15:04:21.647000+00:00,11303,1287,26.2,103,30.7,1005.8,3.1,0,48.9
2026-06-13T15:05:21.663000+00:00,11303,1287,26.1,108,30.6,1006.0,1.4,0,49.4
2026-06-13T15:06:21.664000+00:00,11303,1287,26.6,117,30.6,1005.9,2.4,0,49.9
2026-06-13T15:07:21.653000+00:00,11303,1287,26.1,92,30.6,1006.0,3.1,0,49.2
2026-06-13T15:08:21.649000+00:00,11303,1287,26.4,93,30.4,1005.9,3.6,0,48.4
2026-06-13T15:09:21.658000+00:00,11303,1287,26.3,117,30.5,1005.9,3.2,0,48.8
2026-06-13T15:10:21.650000+00:00,11303,1287,26.6,143,30.4,1005.9,2.9,0,48.6
2026-06-13T15:11:21.650000+00:00,11303,1287,26.6,200,30.3,1005.9,1.2,0,48.8
2026-06-13T15:12:21.668000+00:00,11303,1287,26.7,92,30.4,1005.8,1.6,0,49.2
2026-06-13T15:13:21.660000+00:00,11303,1287,26.3,120,30.6,1005.9,1.4,0,49.6
2026-06-13T15:14:21.653000+00:00,11303,1287,26.4,115,30.6,1005.8,1.2,0,49.4
